Movie Title,Release Date,Genre,Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue
Barbershop: The Next Cut,15-04-2016,Comedy,Malcolm D. Lee,,Ice Cube,Cedric the Entertainer,Nicki Minaj,Regina Hall,Eve,"$20,000,000.00","$55,000,000.00"
Batman v Superman: Dawn of Justice,19-03-2016,Action,Zack Snyder,,Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg,Diane Lane,"$250,000,000.00","$872,700,000.00"
Batman: The Killing Joke,25-07-2016,Action,Sam Liu,Bruce Timm,Kevin Conroy,Mark Hamill,Tara Strong,Ray Wise,,"$3,500,000.00","$4,400,000.00"
Battle of the Year,20-09-2013,Musical,Benson Lee,,Josh Holloway,Laz Alonso,Josh Peck,Caity Lotz,Chris Brown,"$20,000,000.00","$16,500,000.00"
Battleship,18-05-2012,Action,Peter Berg,,Alexander SkarsgÃ¥rd,Taylor Kitsch,Brooklyn Decker,Rihanna,Liam Neeson,"$220,000,000.00","$303,000,000.00"
Beasts of the Southern Wild,27-06-2012,Drama,Benh Zeitlin,,QuvenzhanÃ© Wallis,Dwight Henry,,,,"$1,800,000.00","$21,900,000.00"
Beautiful Creatures,14-02-2013,Fantasy,Richard LaGravenese,,Viola Davis,Alice Englert,Emma Thompson,Emmy Rossum,Jeremy Irons,"$60,000,000.00","$60,100,000.00"
Before I Go to Sleep,04-09-2014,Mystery,Rowan JoffÃ©,,Nicole Kidman,Mark Strong,Colin Firth,Anne-Marie Duff,,"$22,000,000.00","$15,100,000.00"
Ben-Hur,19-08-2016,Adventure,Timur Bekmambetov,,Jack Huston,Morgan Freeman,Toby Kebbell,Rodrigo Santoro,Nazanin Boniadi,"$100,000,000.00","$41,400,000.00"
Beyond the Lights,06-09-2014,Romance,Gina Prince-Bythewood,,Gugu Mbatha-Raw,Nate Parker,Minnie Driver,Danny Glover,,"$7,000,000.00","$14,600,000.00"
Big Eyes,25-12-2014,Biography,Tim Burton,,Amy Adams,Christoph Waltz,Krysten Ritter,Danny Huston,Terence Stamp,"$10,000,000.00","$29,300,000.00"
Black Mass,04-09-2015,Action,Scott Cooper,,Johnny Depp,Joel Edgerton,Benedict Cumberbatch,Sienna Miller,Dakota Johnson,"$53,000,000.00","$99,800,000.00"
Blackhat,08-01-2015,Action,Michael Mann,,Chris Hemsworth,Viola Davis,John Ortiz,Yorick van Wageningen,Tang Wei,"$70,000,000.00","$19,700,000.00"
Blended,23-05-2014,Comedy,Frank Coraci,,Adam Sandler,Drew Barrymore,Bella Thorne,Emma Fuhrmann,Terry Crews,"$40,000,000.00","$128,000,000.00"
Blue Jasmine,26-07-2013,Drama,Woody Allen,,Alec Baldwin,Cate Blanchett,Bobby Cannavale,Louis C.K.,Andrew Dice Clay,"$18,000,000.00","$97,500,000.00"
Boyhood,19-01-2014,Drama,Richard Linklater,,Ethan Hawke,Patricia Arquette,Ellar Coltrane,,,"$4,000,000.00","$44,500,000.00"
Brick Mansions,23-04-2014,Action,Camille Delamarre,,Paul Walker,David Belle,RZA,,,"$23,000,000.00","$69,000,000.00"
Bridge of Spies,04-10-2015,Drama,Steven Spielberg,,Tom Hanks,Mark Rylance,Amy Ryan,Alan Alda,Austin Stowell,"$40,000,000.00","$165,500,000.00"
Brooklyn,26-01-2015,Drama,John Crowley,,Saoirse Ronan,Emory Cohen,Domhnall Gleeson,Jim Broadbent,Julie Walters,"$11,000,000.00","$62,100,000.00"
Bullet to the Head,01-02-2013,Crime,Walter Hill,,Sylvester Stallone,Sung Kang,Sarah Shahi,Adewale Akinnuoye-Agbaje,Religious Slater,"$55,000,000.00","$21,900,000.00"
Burnt,06-10-2015,Comedy,John Wells,,Bradley Cooper,Jamie Dornan,Emma Thompson,Sienna Miller,Daniel BrÃ¼hl,"$20,000,000.00","$36,600,000.00"
