Movie Title,Release Date,Genre,Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue
In the Heart of the Sea,11-12-2015,Biography,Ron Howard,,Chris Hemsworth,Benjamin Walker,Cillian Murphy,Tom Holland,Ben Whishaw,"$100,000,000.00","$93,900,000.00"
Independence Day: Resurgence,20-06-2016,Action,Roland Emmerich,,Jeff Goldblum,Bill Pullman,Sela Ward,Liam Hemsworth,Vivica A. Fox,"$165,000,000.00","$382,300,000.00"
Insidious: Chapter 2,13-09-2013,Horror,James Wan,,Patrick Wilson,Rose Byrne,Lin Shaye,Ty Simpkins,,"$5,000,000.00","$161,900,000.00"
Insidious: Chapter 3,05-06-2015,Horror,Leigh Whannell,,Dermot Mulroney,Stefanie Scott,Angus Sampson,Leigh Whannell,Lin Shaye,"$11,000,000.00","$113,000,000.00"
Interstellar,26-10-2014,Sci-Fi,Christopher Nolan,,Matthew McConaughey,Anne Hathaway,Michael Caine,Jessica Chastain,Matt Damon,"$165,000,000.00","$675,100,000.00"
Into the Storm,08-08-2014,Adventure,Steven Quale,,Richard Armitage,Jeremy Sumpter,Sarah Wayne Callies,Nathan Kress,,"$50,000,000.00","$161,700,000.00"
Iron Sky,25-07-2012,Comedy,Timo Vuorensola,,Julia Dietze,Peta Sergeant,Gotz Otto,Chris Kirby,Udo Kier,"$7,500,000.00","$8,100,000.00"
Irrational Man,16-05-2015,Mystery,Woody Allen,,Joaquin Phoenix,Emma Stone,Parker Posey,Jamie Blackley,,"$11,000,000.00","$27,400,000.00"
Jack Reacher,21-12-2012,Action,Christopher McQuarrie,,Tom Cruise,Rosamund Pike,David Oyelowo,Richard Jenkins,Alexia Fast,"$60,000,000.00","$218,300,000.00"
Jack Ryan: Shadow Recruit,15-01-2014,Action,Kenneth Branagh,,David Koepp,Adam Cozad,Anthony Peckham,Steve Zaillian,Chris Pine,"$60,000,000.00","$135,500,000.00"
Jane Got a Gun,29-01-2016,Action,Gavin O'Connor,,Natalie Portman,Joel Edgerton,Ewan McGregor,Rodrigo Santoro,Noah Emmerich,"$25,000,000.00","$3,000,000.00"
Jason Bourne,29-07-2016,Action,Paul Greengrass,,Matt Damon,Julia Stiles,Alicia Vikander,Riz Ahmed,Vincent Cassel,"$120,000,000.00","$347,900,000.00"
"Jeff, Who Lives at Home",16-03-2012,Comedy,Jay Duplass,,Jason Segel,Ed Helms,Judy Greer,Susan Sarandon,Evan Ross,"$7,500,000.00","$7,500,000.00"
Jem and the Holograms,23-10-2015,Musical,Jon M. Chu,,Aubrey Peeples,Stefanie Scott,Hayley Kiyoko,Aurora Perrineau,Ryan Guzman,"$5,000,000.00","$2,300,000.00"
Jersey Boys,05-06-2014,Drama,Clint Eastwood,,John Lloyd Young,Erec Bergen,Vincent Piazza,Michael Lamenda,Christopher Walken,"$58,600,000.00","$67,700,000.00"
Jobs,16-08-2013,Biography,Joshua Michael Stern,,Ashton Kutcher,Dermot Mulroney,Josh Gad,Lukas Haas,J.K. Simmons,"$12,000,000.00","$35,900,000.00"
John Wick,13-10-2014,Action,Chad Stahelski,David Leitch (director,Keanu Reeves,Bridget Moynahan,Willem Dafoe,,,"$20,000,000.00","$86,000,000.00"
Journey 2: The Mysterious Island,10-02-2012,Adventure,Brad Peyton,,Dwayne Johnson,Michael Caine,Josh Hutcherson,Vanessa Hudgens,Luis GuzmÃ¡n,"$79,000,000.00","$335,300,000.00"
Joy,25-12-2015,Comedy,David O. Russell,,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Ã‰dgar RamÃ­rez,,"$60,000,000.00","$101,100,000.00"
Keanu,29-04-2016,Comedy,Peter Atencio,,Keegan-Michael Key,Jordan Peele,Method Man,Gabrielle Union,Will Forte,"$15,000,000.00","$20,700,000.00"
Kill the Messenger,10-10-2014,Crime,Michael Cuesta,,Jeremy Renner,Barry Pepper,Mary Elizabeth Winstead,Rosemarie DeWitt,Ray Liotta,"$5,000,000.00","$2,500,000.00"
Killing Them Softly,30-11-2012,Crime,Andrew Dominik,,Brad Pitt,Vincent Curatola,Scoot McNairy,Ben Mendelsohn,Ray Liotta,"$15,000,000.00","$37,900,000.00"
Kingsman: The Secret Service,13-12-2014,Action,Matthew Vaughn,,Colin Firth,Taron Egerton,Samuel L. Jackson,Mark Strong,Michael Caine,"$94,000,000.00","$414,400,000.00"
Krampus,04-12-2015,Horror,Michael Dougherty,,Emjay Anthony,Allison Tolman,Adam Scott,,,"$15,000,000.00","$61,500,000.00"
Kubo and the Two Strings,19-08-2016,Fantasy,Travis Knight,,Art Parkinson,Matthew McConaughey,Rooney Mara,Charlize Theron,Ralph Fiennes,"$60,000,000.00","$27,600,000.00"
Kung Fu Panda 3,23-01-2016,Action,Jennifer Yuh Nelson,Alessandro Carloni,Jack Black,Angelina Jolie,Dustin Hoffman,Jackie Chan,Seth Rogen,"$145,000,000.00","$519,900,000.00"
Lazer Team,27-01-2016,Sci-Fi,Matt Hullum,,Burnie Burns,Gavin Free,Michael Jones,Colton Dunn,Allie DeBerry,"$2,400,000.00","$1,600,000.00"
Left Behind,03-10-2014,Religious,Vic Armstrong,,Nicolas Cage,Chad Michael Murray,Cassi Thomson,Nicky Whelan,Jordin Sparks,"$16,000,000.00","$27,600,000.00"
Les MisÃ©rables,25-12-2012,Musical,Tom Hooper,,Hugh Jackman,Russell Crowe,Eddie Redmayne,Colm Wilkinson,Anne Hathaway,"$61,000,000.00","$441,800,000.00"
Let's Be Cops,13-08-2014,Action,Luke Greenfield,,Jake Johnson,Damon Wayans,Jr.,,,"$17,000,000.00","$138,200,000.00"
Life of Pi,21-11-2012,Drama,Ang Lee,,Suraj Sharma,Ayush Tandon,Irrfan Khan,GÃ©rard Depardieu,,"$120,000,000.00","$609,000,000.00"
Lights Out,22-07-2016,Horror,David F. Sandberg,,Teresa Palmer,Gabriel Bateman,Alexander DiPersia,,,"$4,900,000.00","$125,900,000.00"
Lincoln,09-11-2012,Drama,Steven Spielberg,,Daniel Day-Lewis,David Strathairn,Hal Holbrook,Sally Field,Joseph Gordon-Levitt,"$65,000,000.00","$275,300,000.00"
Little Boy,24-04-2015,Drama,Alejandro GÃ³mez Monteverde,,Jakob Salvati,David Henrie,Kevin James,Emily Watson,Ted Levine,"$20,000,000.00","$17,500,000.00"
Lockout,13-04-2012,Action,James Mather,Stephen St.Leger,Guy Pearce,Maggie Grace,Peter Stormare,Lennie James,Vincent Regan,"$20,000,000.00","$32,200,000.00"
London Has Fallen,04-03-2016,Action,Babak Najafi,,Gerard Butler,Aaron Eckhart,Morgan Freeman,Angela Bassett,Alon Aboutboul,"$60,000,000.00","$195,700,000.00"
Looper,28-09-2012,Action,Rian Johnson,,Joseph Gordon-Levitt,Bruce Willis,Emily Blunt,Paul Dano,Noah Segan,"$30,000,000.00","$176,500,000.00"
Love the Coopers,04-11-2015,Romance,Jessie Nelson,,John Goodman,Diane Keaton,Amanda Seyfried,Alan Arkin,Olivia Wilde,"$24,000,000.00","$41,100,000.00"
Lucy,25-07-2014,Sci-Fi,Luc Besson,,Scarlett Johansson,Morgan Freeman,Choi Min-sik,,,"$40,000,000.00","$463,400,000.00"
Mad Max: Fury Road,07-05-2015,Action,George Miller,,Tom Hardy,Charlize Theron,Hugh Keays-Byrne,Nicholas Hoult,Rosie Huntington-Whiteley,"$150,000,000.00","$378,400,000.00"
Madagascar 3: Europe's Most Wanted,08-06-2012,Comedy,Eric Darnell,,Noah Baumbach(screenplay); Ben Stiller,Chris Rock,David Schwimmer,Jada Pinkett Smith,Sacha Baron Cohen,"$145,000,000.00","$746,900,000.00"
Magic in the Moonlight,25-07-2014,Comedy,Woody Allen,,Emma Stone,Colin Firth,Hamish Linklater,Marcia Gay Harden,Jacki Weaver,"$16,800,000.00","$51,000,000.00"
Mama,18-01-2013,Horror,Andres Muschietti,,Jessica Chastain,Nikolaj Coster-Waldau,Daniel Kash,David Fox,,"$15,000,000.00","$146,400,000.00"
Man of Steel,14-06-2013,Action,Zack Snyder,,Henry Cavill,Amy Adams,Michael Shannon,Kevin Costner,Diane Lane,"$225,000,000.00","$668,000,000.00"
Man on a Ledge,27-01-2012,Action,Asger Leth,,Sam Worthington,Ed Harris,Elizabeth Banks,Jamie Bell,Kyra Sedgwick,"$42,000,000.00","$46,200,000.00"
Max,26-06-2015,Adventure,Boaz Yakin,,Josh Wiggins,Thomas Haden Church,Lauren Graham,,,"$20,000,000.00","$44,000,000.00"
Maze Runner: The Scorch Trials,18-09-2015,Sci-Fi,Wes Ball,,Dylan O'Brien,Ki Hong Lee,Thomas Sangster,Kaya Scodelario,Patricia Clarkson,"$61,000,000.00","$312,300,000.00"
Me and Earl and the Dying Girl,25-01-2015,Comedy,Alfonso Gomez-Rejon,,Thomas Mann,Olivia Cooke,Ronald Cyler II,Jon Bernthal,Nick Offerman,"$8,000,000.00","$9,100,000.00"
Me Before You,03-06-2016,Drama,Thea Sharrock,,Emilia Clarke,Sam Claflin,Charles Dance,Jenna Coleman,Janet McTeer,"$20,000,000.00","$196,200,000.00"
Mechanic: Resurrection,26-08-2016,Action,Dennis Gansel,,Jason Statham,Jessica Alba,Tommy Lee Jones,Michelle Yeoh,,"$40,000,000.00","$7,500,000.00"
Men in Black 3,25-05-2012,Comedy,Barry Sonnenfeld,,Will Smith,Tommy Lee Jones,Josh Brolin,Jemaine Clement,Emma Thompson,"$215,000,000.00","$624,000,000.00"
Midnight Special,12-02-2016,Sci-Fi,Jeff Nichols,,Michael Shannon,Kirsten Dunst,Adam Driver,Joel Edgerton,Sam Shepard,"$18,000,000.00","$6,200,000.00"
Miracles from Heaven,16-03-2016,Drama,Patricia Riggen,,Jennifer Garner,Martin Henderson,Queen Latifah,,,"$13,000,000.00","$73,600,000.00"
Mirror Mirror,30-03-2012,Fantasy,Tarsem Singh,,Lily Collins,Julia Roberts,Armie Hammer,Nathan Lane,Robert Emms,"$85,000,000.00","$183,000,000.00"
Mission: Impossible â€“ Rogue Nation,23-07-2015,Action,Christopher McQuarrie,,Tom Cruise,Jeremy Renner,Simon Pegg,Ving Rhames,Rebecca Ferguson,"$150,000,000.00","$682,300,000.00"
Moms' Night Out,09-05-2014,Religious,Andrew Erwin and Jon Erwin,,Sarah Drew,Trace Adkins,Sean Astin,Patricia Heaton,,"$5,000,000.00","$10,500,000.00"
Money Monster,13-05-2016,Drama,Jodie Foster,,George Clooney,Julia Roberts,Jack O'Connell,Dominic West,Caitriona Balfe,"$27,000,000.00","$93,100,000.00"
Monster Hunt,22-01-2016,Action,Raman Hui,,Bai Baihe,Jing Boran,Jiang Wu,Elaine Jin,,"$56,000,000.00","$385,200,000.00"
Moonrise Kingdom â‚ª,25-05-2012,Comedy,Wes Anderson,,Jared Gilman,Kara Hayward,Bruce Willis,Edward Norton,Bill Murray,"$16,000,000.00","$68,300,000.00"
Mortdecai,23-01-2015,Action,David Koepp,,Johnny Depp,Ewan McGregor,Olivia Munn,Aubrey Plaza,Oliver Platt,"$60,000,000.00","$47,000,000.00"
Mother's Day,13-04-2016,Comedy,Garry Marshall,,Jennifer Aniston,Julia Roberts,Kate Hudson,Timothy Olyphant,Jason Sudeikis,"$25,000,000.00","$43,800,000.00"
Mr. Peabody & Sherman,07-02-2014,Family,Rob Minkoff,,Ty Burrell,Max Charles,Stephen Colbert,Allison Janney,Ariel Winter,"$145,000,000.00","$275,700,000.00"
Mud,26-04-2013,Drama,Jeff Nichols,,Matthew McConaughey,Reese Witherspoon,Michael Shannon,Sarah Paulson,Sam Shepard,"$10,000,000.00","$32,600,000.00"
Mustang,19-05-2015,Drama,Deniz Gamze ErgÃ¼ven,,GÃ¼neÅŸ Åžensoy,,,,,"$1,300,000.00","$4,900,000.00"
My All American,13-11-2015,Biography,Angelo Pizzo,,Aaron Eckhart,Finn Wittrock,Robin Tunney,Sarah Bolger,Michael Reilly Burke,"$20,000,000.00","$2,200,000.00"
My Big Fat Greek Wedding 2,25-03-2016,Romance,Kirk Jones,,Nia Vardalos,John Corbett,Ian Gomez,Elena Kampouris,,"$18,000,000.00","$88,900,000.00"
Need for Speed,12-03-2014,Action,Scott Waugh,,Aaron Paul,Imogen Poots,Dominic Cooper,Michael Keaton,RamÃ³n RodrÃ­guez,"$65,000,000.00","$203,300,000.00"
Neighbors,08-03-2014,Comedy,Nicholas Stoller,,Seth Rogen,Zac Efron,Rose Byrne,Christopher Mintz-Plasse,Dave Franco,"$18,000,000.00","$270,700,000.00"
Neighbors 2: Sorority Rising,20-05-2016,Comedy,Nicholas Stoller,,Seth Rogen,Zac Efron,Rose Byrne,ChloÃ« Grace Moretz,Dave Franco,"$35,000,000.00","$107,900,000.00"
Nerve,27-07-2016,Thriller,Henry Joost,Ariel Schulman,Dave Franco,Emma Roberts,Emily Meade,Kimiko Glenn,Juliette Lewis,"$20,000,000.00","$47,600,000.00"
Night at the Museum: Secret of the Tomb,11-12-2014,Comedy,Shawn Levy,,Ben Stiller,Robin Williams,Dan Stevens,Owen Wilson,Ricky Gervais,"$127,000,000.00","$363,200,000.00"
Nightcrawler,05-09-2014,Drama,Dan Gilroy,,Jake Gyllenhaal,Bill Paxton,Rene Russo,Riz Ahmed,,"$8,500,000.00","$50,300,000.00"
Nine Lives,05-08-2016,Comedy,Barry Sonnenfeld,,Kevin Spacey,Robbie Amell,Jennifer Garner,Christopher Walken,Malina Weissman,"$30,000,000.00","$19,100,000.00"
No Escape,17-08-2015,Action,John Erick Dowdle,,Owen Wilson,Pierce Brosnan,Lake Bell,,,"$5,000,000.00","$54,400,000.00"
No Good Deed,12-09-2014,Crime,Sam Miller,,Idris Elba,Taraji P. Henson,Henry Simmons,,,"$13,200,000.00","$54,300,000.00"
No One Lives,10-05-2013,Horror,Ryuhei Kitamura,,Luke Evans,Adelaide Clemens,America Olivo,Derek Magyar,Lindsey Shaw,"$2,900,000.00","$1,000,000.00"
Noah,10-03-2014,Adventure,Darren Aronofsky,,Russell Crowe,Jennifer Connelly,Logan Lerman,Emma Watson,Ray Winstone,"$125,000,000.00","$362,600,000.00"
Non-Stop,27-01-2014,Thriller,Jaume Collet-Serra,,Liam Neeson,Julianne Moore,Lupita Nyong'o,Nate Parker,Michelle Dockery,"$50,000,000.00","$222,800,000.00"
Now You See Me,31-05-2013,Crime,Louis Leterrier,,Jesse Eisenberg,Isla Fisher,Morgan Freeman,Woody Harrelson,Mark Ruffalo,"$75,000,000.00","$351,700,000.00"
Now You See Me 2,06-06-2016,Thriller,Jon M. Chu,,Mark Ruffalo,Jesse Eisenberg,Woody Harrelson,Dave Franco,Lizzy Caplan,"$90,000,000.00","$320,900,000.00"
Oblivion,10-04-2013,Action,Joseph Kosinski,,Tom Cruise,Olga Kurylenko,Andrea Riseborough,Morgan Freeman,Nikolaj Coster-Waldau,"$120,000,000.00","$286,200,000.00"
Olympus Has Fallen,22-03-2013,Action,Antoine Fuqua,,Gerard Butler,Aaron Eckhart,Morgan Freeman,Rick Yune,Dylan McDermott,"$70,000,000.00","$161,000,000.00"
One Direction: This Is Us,29-08-2013,Documentary,Morgan Spurlock,,Harry Styles,Niall Horan,Louis Tomlinson,Zayn Malik,Liam Payne,"$10,000,000.00","$68,500,000.00"
One for the Money,27-01-2012,Crime,Julie Anne Robinson,,Katherine Heigl,Debbie Reynolds,Jason O'Mara,Daniel Sunjata,Sherri Shepherd,"$40,000,000.00","$36,900,000.00"
Ouija,24-10-2014,Horror,Stiles White,,Douglas Smith,Olivia Cooke,Vivis Colombetti,Ana Coto,Erin Moriarty,"$5,000,000.00","$103,600,000.00"
Our Brand Is Crisis,11-09-2015,Comedy,David Gordon Green,,Sandra Bullock,Scoot McNairy,Billy Bob Thornton,Anthony Mackie,Ann Dowd,"$28,000,000.00","$8,600,000.00"
Pacific Rim,12-07-2013,Action,Guillermo del Toro,,Charlie Hunnam,Ellen McLain,Idris Elba,Charlie Day,Rinko Kikuchi,"$190,000,000.00","$411,000,000.00"
Pain & Gain,26-04-2013,Action,Michael Bay,,Mark Wahlberg,Dwayne Johnson,Ed Harris,Ken Jeong,Anthony Mackie,"$26,000,000.00","$86,200,000.00"
Pan,30-09-2015,Fantasy,Joe Wright,,Hugh Jackman,Garrett Hedlund,Rooney Mara,Amanda Seyfried,Levi Miller,"$150,000,000.00","$128,400,000.00"
Paper Towns,24-07-2015,Romance,Jake Schreier,,Nat Wolff,Cara Delevingne,,,,"$12,000,000.00","$85,500,000.00"
Paranormal Activity 4,19-10-2012,Thriller,Ariel Schulman,Henry Joost,Kathryn Newton,Katie Featherston,,,,"$5,000,000.00","$142,800,000.00"
Paranormal Activity: The Ghost Dimension,23-10-2015,Horror,Gregory Plotkin,,Katie Featherston,Tyler Craig,,,,"$10,000,000.00","$78,100,000.00"
ParaNorman,17-08-2012,Fantasy,Chris Butler,,Kodi Smit-McPhee,Tucker Albrizzi,Anna Kendrick,Casey Affleck,Christopher Mintz-Plasse,"$60,000,000.00","$107,100,000.00"
Parental Guidance,25-12-2012,Comedy,Andy Fickman,,Billy Crystal,Bette Midler,Marisa Tomei,Tom Everett Scott,Bailee Madison,"$25,000,000.00","$119,800,000.00"
Parker,25-01-2013,Crime,Taylor Hackford,,Jason Statham,Jennifer Lopez,Bobby Cannavale,Clifton Collins,Jr.,"$35,000,000.00","$48,500,000.00"
Paul Blart: Mall Cop 2,17-04-2015,Action,Andy Fickman,,Kevin James,Raini Rodriguez,Neal McDonough,Molly Shannon,Daniella Alonso,"$40,000,000.00","$107,600,000.00"
Pawn Sacrifice,11-09-2015,Biography,Ed Zwick,,Tobey Maguire,Liev Schreiber,Peter Sarsgaard,Michael Stuhlbarg,Lily Rabe,"$19,000,000.00","$5,400,000.00"
Penguins of Madagascar,14-11-2014,Family,Simon J. Smith,,Tom McGrath,Chris Miller,Conrad Vernon,Christopher Knights,Benedict Cumberbatch,"$132,000,000.00","$373,000,000.00"
People Like Us,29-06-2012,Drama,Alex Kurtzman,,Chris Pine,Elizabeth Banks,Michelle Pfeiffer,Olivia Wilde,Mark Duplass,"$16,000,000.00","$12,400,000.00"
Percy Jackson: Sea of Monsters,07-08-2013,Adventure,Thor Freudenthal,,Logan Lerman,Alexandra Daddario,Douglas Smith,Mary Birdsong,Yvette Nicole Brown,"$90,000,000.00","$202,200,000.00"
Pitch Perfect,05-10-2012,Comedy,Jason Moore,,Anna Kendrick,Anna Camp,Rebel Wilson,Adam DeVine,Alexis Knapp,"$17,000,000.00","$115,400,000.00"
Pitch Perfect 2,20-04-2015,Comedy,Elizabeth Banks,,Anna Kendrick,Rebel Wilson,Hailee Steinfeld,Brittany Snow,Skylar Astin,"$29,000,000.00","$287,100,000.00"
Pixels,24-07-2015,Comedy,Chris Columbus,,Adam Sandler,Kevin James,Josh Gad,Peter Dinklage,Michelle Monaghan,"$129,000,000.00","$244,900,000.00"
Point Break,25-12-2015,Action,Ericson Core,,Edgar Ramirez,Luke Bracey,Ray Winstone,Teresa Palmer,,"$105,000,000.00","$133,700,000.00"
Polis Evo,17-09-2015,Action,Ghaz Abu Bakar,,Shaheizy Sam,Zizan Razak,Nora Danish,Mimie Ernida,Wan Hanafi Su,"$2,400,000.00","$17,300,000.00"
Poltergeist,22-05-2015,Horror,Gil Kenan,,Sam Rockwell,Jared Harris,Rosemarie DeWitt,Saxon Sharbino,Kyle Catlett,"$35,000,000.00","$95,400,000.00"
Pompeii,18-02-2014,Action,Paul W. S. Anderson,,Kit Harington,Emily Browning,Jared Harris,Kiefer Sutherland,Carrie-Anne Moss,"$80,000,000.00","$117,800,000.00"
Popstar: Never Stop Never Stopping,03-06-2016,Comedy,Jorma Taccone,Akiva Schaffer,Jorma Taccone,Akiva Schaffer,Andy Samberg (screenplay),,,"$20,000,000.00","$9,500,000.00"
Premium Rush,24-08-2012,Action,David Koepp,,Joseph Gordon-Levitt,Michael Shannon,Dania Ramirez,Wole Parks,Jamie Chung,"$35,000,000.00","$31,100,000.00"
Pride and Prejudice and Zombies,05-02-2016,Comedy,Burr Steers,,Lily James,Sam Riley,Matt Smith,Lena Headey,Charles Dance,"$28,000,000.00","$16,400,000.00"
Prisoners,20-09-2013,Crime,Denis Villeneuve,,Jake Gyllenhaal,Hugh Jackman,Paul Dano,Melissa Leo,Viola Davis,"$46,000,000.00","$122,100,000.00"
Project Almanac,30-01-2015,Sci-Fi,Dean Israelite,,Jonny Weston,Sofia Black-D'Elia,,,,"$12,000,000.00","$33,200,000.00"
Project X,02-03-2012,Comedy,Nima Nourizadeh,,Miles Teller,Oliver Cooper,Jonathan Daniel Brown,Kirby Bliss Blanton,Thomas Mann,"$12,000,000.00","$102,700,000.00"
Prometheus,08-06-2012,Sci-Fi,Ridley Scott,,Noomi Rapace,Michael Fassbender,Charlize Theron,Idris Elba,Guy Pearce,"$130,000,000.00","$403,400,000.00"
Promised Land,28-12-2012,Drama,Gus Van Sant,,Matt Damon,John Krasinski,Rosemarie DeWitt,Frances McDormand,,"$15,000,000.00","$8,100,000.00"
R.I.P.D.,19-07-2013,Action,Robert Schwentke,,Ryan Reynolds,Jeff Bridges,Kevin Bacon,Stephanie Szostak,Mary-Louise Parker,"$130,000,000.00","$78,300,000.00"
Race,19-02-2016,Drama,Stephen Hopkins,,Stephan James,Jason Sudeikis,Jeremy Irons,William Hurt,Carice van Houten,"$5,000,000.00","$23,500,000.00"
Raiders of the Lost Ark: The IMAX Experience,07-09-2012,Action,Steven Spielberg,,Harrison Ford,John Rhys-Davies,Karen Allen,Paul Freeman,Alfred Molina,"$18,000,000.00","$389,900,000.00"
Rams,15-05-2015,Drama,GrÃ­mur HÃ¡konarson,,SigurÃ°ur SigurjÃ³nsson,,,,,"$1,750,000.00","$1,740,000.00"
Ratchet & Clank,29-04-2016,Sci-Fi,Jerrica Cleland,Kevin Munroe,Paul Giamatti,John Goodman,Bella Thorne,Rosario Dawson,James Arnold Taylor,"$20,000,000.00","$12,800,000.00"
RED 2,19-07-2013,Action,Dean Parisot,,Bruce Willis,John Malkovich,Helen Mirren,Mary-Louise Parker,Catherine Zeta-Jones,"$84,000,000.00","$148,100,000.00"
Red Dawn,21-11-2012,Action,Dan Bradley,,Will Yun Lee,Chris Hemsworth,Josh Peck,Adrianne Palicki,Josh Hutcherson,"$65,000,000.00","$48,100,000.00"
Red Tails,20-01-2012,Drama,Anthony Hemingway,,Cuba Gooding Jr.,Nate Parker,David Oyelowo,Daniela Ruah,Terrence Howard,"$58,000,000.00","$50,400,000.00"
Resident Evil: Retribution,14-09-2012,Action,Paul W. S. Anderson,,Milla Jovovich,Sienna Guillory,Colin Salmon,Boris Kodjoe,Michelle Rodriguez,"$65,000,000.00","$240,200,000.00"
Ricki and the Flash,07-08-2015,Comedy,Jonathan Demme,,Meryl Streep,Kevin Kline,Mamie Gummer,Audra McDonald,Sebastian Stan,"$18,000,000.00","$41,300,000.00"
Riddick,06-09-2013,Action,David Twohy,,Vin Diesel,Karl Urban,Katee Sackhoff,Dave Bautista,Matthew Nable,"$40,000,000.00","$100,300,000.00"
Ride Along,17-01-2014,Action,Tim Story,,Ice Cube,Kevin Hart,John Leguizamo,Bruce McGill,Tika Sumpter,"$25,000,000.00","$154,500,000.00"
Ride Along 2,15-01-2016,Comedy,Tim Story,,Ice Cube,Kevin Hart,Benjamin Bratt,Olivia Munn,Ken Jeong,"$40,000,000.00","$124,200,000.00"
Rio 2,20-03-2014,Family,Carlos Saldanha,,Jesse Eisenberg,Anne Hathaway,Leslie Mann,Bruno Mars,Jemaine Clement,"$103,000,000.00","$500,100,000.00"
Rise of the Guardians,21-11-2012,Adventure,Peter Ramsey,,Chris Pine,Alec Baldwin,Hugh Jackman,Isla Fisher,Jude Law,"$145,000,000.00","$306,900,000.00"
Risen,19-02-2016,Drama,Kevin Reynolds,,Joseph Fiennes,Tom Felton,Cliff Curtis,,,"$20,000,000.00","$46,100,000.00"
RoboCop,30-01-2014,Action,JosÃ© Padilha,,Joel Kinnaman,Gary Oldman,Michael Keaton,Samuel L. Jackson,Jackie Earle Haley,"$100,000,000.00","$242,700,000.00"
Robot & Frank,17-08-2012,Comedy,Jake Schreier,,Frank Langella,Susan Sarandon,James Marsden,Liv Tyler,Peter Sarsgaard,"$2,500,000.00","$4,900,000.00"
Rock of Ages,15-06-2012,Musical,Adam Shankman,,Julianne Hough,Diego Boneta,Tom Cruise,Alec Baldwin,Russell Brand,"$75,000,000.00","$59,400,000.00"
Rock the Kasbah,22-10-2015,Comedy,Barry Levinson,,Bill Murray,Bruce Willis,Kate Hudson,Scott Caan,Zooey Deschanel,"$15,000,000.00","$3,400,000.00"
Romeo and Juliet,26-07-2013,Drama,Carlo Carlei,,Hailee Steinfeld,Douglas Booth,Damian Lewis,Natascha McElhone,Lesley Manville,"$15,000,000.00","$3,000,000.00"
Room,04-09-2015,Drama,Lenny Abrahamson,,Brie Larson,Joan Allen,William H. Macy,Sean Bridgers,Jacob Tremblay,"$13,000,000.00","$36,000,000.00"
Run All Night,13-03-2015,Action,Jaume Collet-Serra,,Liam Neeson,Joel Kinnaman,Ed Harris,,,"$61,600,000.00","$71,700,000.00"
"Runner, Runner",27-09-2013,Crime,Brad Furman,,Ben Affleck,Justin Timberlake,Gemma Arterton,Anthony Mackie,,"$30,000,000.00","$30,000,000.00"
Rush,20-09-2013,Action,Ron Howard,,Chris Hemsworth,Daniel Bruhl,Olivia Wilde,Alexandra Maria Lara,,"$38,000,000.00","$90,200,000.00"
Sabotage,19-03-2014,Action,David Ayer,,Arnold Schwarzenegger,Mireille Enos,Sam Worthington,Joe Manganiello,Olivia Williams,"$35,000,000.00","$17,500,000.00"
Safe House,10-02-2012,Action,Daniel Espinosa,,Denzel Washington,Ryan Reynolds,Sam Shepard,Robert Patrick,Liam Cunningham,"$85,000,000.00","$208,100,000.00"
Salmon Fishing in the Yemen,09-03-2012,Drama,Lasse HallstrÃ¶m,,Ewan McGregor,Emily Blunt,Kristin Scott Thomas,Amr Waked,,"$14,400,000.00","$34,600,000.00"
Savages,06-07-2012,Crime,Oliver Stone,,Taylor Kitsch,Blake Lively,Aaron Johnson,John Travolta,Benicio del Toro,"$45,000,000.00","$83,000,000.00"
Scary Movie 5,12-04-2013,Comedy,Malcolm D. Lee,,Ashley Tisdale,Simon Rex,Lindsay Lohan,Charlie Sheen,Terry Crews,"$20,000,000.00","$78,400,000.00"
Secret in Their Eyes,20-11-2015,Crime,Billy Ray,,Julia Roberts,Nicole Kidman,Chiwetel Ejiofor,Dean Norris,,"$19,500,000.00","$32,200,000.00"
Self/less,10-07-2015,Drama,Tarsem Singh,,Ryan Reynolds,Ben Kingsley,Natalie Martinez,Victor Garber,Matthew Goode,"$26,000,000.00","$30,500,000.00"
Selma,25-12-2014,Drama,Ava DuVernay,,David Oyelowo,Tom Wilkinson,Common,Carmen Ejogo,,"$20,000,000.00","$66,800,000.00"
Seventh Son,17-12-2014,Fantasy,Sergei Bodrov,,Sergei Bodrov (director) Ben Barnes,Jeff Bridges,Julianne Moore,Alicia Vikander,Kit Harington,"$95,000,000.00","$114,200,000.00"
Shaun the Sheep Movie,24-01-2015,Adventure,Mark Burton,,Justin Fletcher,John Sparkes,,,,"$25,000,000.00","$106,000,000.00"
Sicario,19-05-2015,Crime,Denis Villeneuve,,Emily Blunt,Benicio del Toro,Josh Brolin,Jon Bernthal,,"$30,000,000.00","$84,900,000.00"
Side Effects,08-02-2013,Crime,Steven Soderbergh,,Rooney Mara,Jude Law,Channing Tatum,Catherine Zeta-Jones,Vinessa Shaw,"$30,000,000.00","$66,700,000.00"
Silent Hill: Revelation 3D,26-10-2012,Horror,Michael J. Bassett,,Adelaide Clemens,Sean Bean,Radha Mitchell,Kit Harington,Carrie-Anne Moss,"$20,000,000.00","$52,300,000.00"
